#x,T,xh2o,xco2,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.400000000000000E+003,    0.500000000000000E-001,    0.333333333333333E-001,    0.665202153162674E-312,   -0.437068411345672E-001,    0.170066556173887E+001,    0.000000000000000E+000,   -0.300087165220823E+002,   -0.285642901937712E+002
    0.500000000000000E-002,    0.400004112325772E+003,    0.500020561628860E-001,    0.333347041085907E-001,    0.665202153162674E-312,    0.571825554163925E+000,    0.170095861268330E+001,    0.000000000000000E+000,   -0.300026905829524E+002,   -0.285640141993979E+002
    0.150000000000000E-001,    0.400037010255502E+003,    0.500185051277509E-001,    0.333456700851673E-001,    0.479660548662940E-312,    0.771852917497401E+000,    0.170829079264825E+001,    0.000000000000000E+000,   -0.300102989441514E+002,   -0.285810256422067E+002
    0.250000000000000E-001,    0.400102802507333E+003,    0.500514012536664E-001,    0.333676008357776E-001,    0.479660548662940E-312,    0.868680221266998E+000,    0.171788125050442E+001,    0.000000000000000E+000,   -0.300188758805249E+002,   -0.285981084158765E+002
    0.350000000000000E-001,    0.400201481866403E+003,    0.501007409332016E-001,    0.334004939554677E-001,    0.106099792117405E-315,    0.929166893185695E+000,    0.172577816934087E+001,    0.000000000000000E+000,   -0.300280516190777E+002,   -0.286152857676673E+002
    0.450000000000000E-001,    0.400333037511409E+003,    0.501665187557045E-001,    0.334443458371363E-001,    0.000000000000000E+000,    0.973092225203504E+000,    0.173463672252003E+001,    0.000000000000000E+000,   -0.300376616627615E+002,   -0.286325403647750E+002
    0.550000000000000E-001,    0.400497455015792E+003,    0.502487275078958E-001,    0.334991516719305E-001,    0.479660548662940E-312,    0.100825792002265E+001,    0.174448194048120E+001,    0.000000000000000E+000,   -0.300476178400518E+002,   -0.286498818397937E+002
    0.650000000000000E-001,    0.400694716349318E+003,    0.503473581746592E-001,    0.335649054497728E-001,    0.479660548662940E-312,    0.103613095642463E+001,    0.175398379409463E+001,    0.000000000000000E+000,   -0.300578650455571E+002,   -0.286673202879982E+002
    0.750000000000000E-001,    0.400924799880062E+003,    0.504623999400308E-001,    0.336415999600206E-001,    0.479660548662940E-312,    0.106105132077125E+001,    0.176450325176239E+001,    0.000000000000000E+000,   -0.300683485757387E+002,   -0.286848520610861E+002
    0.850000000000000E-001,    0.401187680376769E+003,    0.505938401883846E-001,    0.337292267922564E-001,    0.000000000000000E+000,    0.108447694738192E+001,    0.177469496957687E+001,    0.000000000000000E+000,   -0.300790515521025E+002,   -0.287024875628317E+002
    0.950000000000000E-001,    0.401483329011632E+003,    0.507416645058161E-001,    0.338277763372107E-001,    0.212199564472184E-316,    0.110437235256573E+001,    0.178593554655764E+001,    0.000000000000000E+000,   -0.300899630611716E+002,   -0.287202232785683E+002
    0.105000000000000E+000,    0.401811713363446E+003,    0.509058566817231E-001,    0.339372377878154E-001,    0.000000000000000E+000,    0.112306713143516E+001,    0.179825312808528E+001,    0.000000000000000E+000,   -0.301010543798234E+002,   -0.287380696754474E+002
